Project,N° Iteration,Classifier,Feature Selection,Sampling,Cost Sensitive,Training %,Precision,Recall,AUC,Kappa,True Positive,False Positive,True Negative,False Negative
storm,11,NaiveBayes,No,No,No,86.79924412849816,0.011659807956104253,1.0,0.6876064908722109,1.447319691635775E-4,17.0,1441.0,9.0,0.0
storm,11,IBk,No,No,No,86.79924412849816,0.13043478260869565,0.17647058823529413,0.773448275862069,0.1385194652665,3.0,20.0,1430.0,14.0
storm,11,RandomForest,Yes,No,No,86.79924412849816,0.2857142857142857,0.11764705882352941,0.7613793103448275,0.16099513869030638,2.0,5.0,1445.0,15.0
storm,11,NaiveBayes,Yes,No,No,86.79924412849816,0.0,0.0,0.6864908722109534,0.0,0.0,0.0,1450.0,17.0
storm,11,IBk,Yes,No,No,86.79924412849816,0.13636363636363635,0.17647058823529413,0.774158215010142,0.14263703178960246,3.0,19.0,1431.0,14.0
storm,11,RandomForest,Yes,SMOTE,No,87.2123430962343,0.1875,0.17647058823529413,0.7550101419878296,0.1725196899743033,3.0,13.0,1437.0,14.0
storm,11,NaiveBayes,Yes,SMOTE,No,87.2123430962343,0.0,0.0,0.7027789046653145,-0.005295290306503464,0.0,5.0,1445.0,17.0
storm,11,IBk,Yes,SMOTE,No,87.2123430962343,0.12,0.17647058823529413,0.7758012170385395,0.13086696070041617,3.0,22.0,1428.0,14.0
storm,11,RandomForest,Yes,UnderSampling,No,86.79924412849816,0.026066350710900472,0.6470588235294118,0.7043002028397566,0.028469106588423915,11.0,411.0,1039.0,6.0
storm,11,NaiveBayes,Yes,UnderSampling,No,86.79924412849816,0.013513513513513514,0.058823529411764705,0.5509330628803245,0.0031913025553334602,1.0,73.0,1377.0,16.0
storm,11,IBk,Yes,UnderSampling,No,86.79924412849816,0.02208835341365462,0.6470588235294118,0.6950507099391481,0.020772489652343146,11.0,487.0,963.0,6.0
storm,11,RandomForest,Yes,No,Yes,86.79924412849816,0.07317073170731707,0.35294117647058826,0.7320081135902637,0.10401207483590048,6.0,76.0,1374.0,11.0
